loanID,loanPerformance,loanPerformNum,loanDateOpened,appAge,appChkSv,appFinanceCo,appIncome,appMaritalStatus,appOcc,appResidence,appOrigScore,appTimeAddress,cb90Ever,cbFICO,cbInq5Mos,cbMosAvg,cbMosDlq,cbMosInq,cbPctGood,cbTimeFile,cbTimeFileYears,cbUtilizn,dealLoanToVal,dealPctDown,dealNewUsed,sampwt,target
AL120267284-07494,Delq 3+ cycles,4,2006-07-10 Mon,21,None,National,"1,290.00",M,f,Owns Home,165,0,0,551,11,,1,0,80,36,3,90,92.7,7.3,New,1.007,0
AL120267302-04622,Paid as agreed,7,2007-01-10 Wed,34,None,Home Equity,"1,600.00",M,r,Owns Home,207,4,0,689,6,68,,0,100,145,12,64,52.1,47.9,New,28.341,1
AL120267329-06613,Charged-off,3,2007-05-03 Thu,26,Chk & Sv,Unknown,"1,600.00",M,w,Renting,195,1,0,606,5,27,,0,100,46,3,63,92.8,7.2,New,1.007,0
AL120267355-05225,Paid as agreed,7,2007-04-16 Mon,31,Chk & Sv,National,"1,800.00",M,f,Owns Home,192,1,0,635,7,25,,0,100,21,1,,89.9,10.1,New,28.341,1
AL120267434-05982,Paid as agreed,7,2006-11-07 Tue,43,Chk & Sv,National,"4,000.00",SI,b,Owns Home,215,10,0,697,2,1,,0,100,165,13,86,80.7,19.3,Used,28.341,1
AL120267451-06056,Paid as agreed,7,2006-12-19 Tue,40,Checking,National,"2,917.00",SI,e,Owns Home,222,4,0,751,3,,,0,100,160,13,15,95.4,4.6,Used,28.341,1
AL120267488-04954,Paid as agreed,7,2006-08-16 Wed,19,Checking,National,"1,000.00",M,k,Parents,209,1,0,671,7,2,,0,100,21,1,40,67.7,32.3,New,28.341,1
AL120267748-04024,Paid as agreed,7,2006-07-10 Mon,23,Chk & Sv,National,"2,960.00",M,e,Renting,197,0,1,636,10,60,16,0,75,39,3,0,94,6,New,47.54,1
AL120267979-05226,Paid as agreed,7,2007-04-17 Tue,48,Checking,Home Equity,"1,750.00",M,e,Owns Home,201,25,2,621,8,40,22,0,50,128,10,100,91,9,New,45.308,1
AL120268024-08843,Delq 3+ cycles,4,2007-06-06 Wed,33,Checking,National,"2,883.00",SI,g,Owns Home,218,7,0,642,4,,,0,100,53,4,100,84.4,15.6,Used,3.215,0
AL120268056-05177,Paid as agreed,7,2006-10-12 Thu,41,Chk & Sv,Unsecured,"5,200.00",M,b,Owns Home,163,9,8,540,7,,0,0,44,226,18,90,92,8,New,38.738,1
AL120268306-06905,Delq 3+ cycles,4,2007-06-22 Fri,21,Chk & Sv,National,"2,520.00",M,y,Renting,189,0,0,630,6,20,,0,100,29,2,98,84.9,15.1,New,3.494,0
AL120268330-04330,Paid as agreed,7,2007-05-07 Mon,,None,Retail,"2,700.00",M,b,Owns Home,183,1,0,606,4,,,0,100,13,1,96,78.5,21.5,New,39.238,1
AL120268364-07602,Charged-off,3,2006-12-21 Thu,28,Checking,National,"2,000.00",M,k,Renting,220,5,0,694,5,10,,0,100,104,8,62,86.2,13.8,New,1.007,0
AL120268367-05278,Paid as agreed,7,2006-07-27 Thu,47,Chk & Sv,National,"4,500.00",M,f,Owns Home,236,15,0,783,0,2,,18,100,258,21,14,91.3,8.7,New,28.341,1
AL120268421-05604,Paid as agreed,7,2007-04-13 Fri,44,Checking,Home Equity,"2,167.00",M,b,Owns Home,173,15,3,556,4,68,1,0,0,53,4,54,87,13,New,49.006,1
AL120268518-08986,Charged-off,3,2006-07-21 Fri,,Chk & Sv,National,"4,000.00",SP,y,Owns Home,199,6,2,658,3,,23,0,50,149,12,12,100,0,Used,0.933,0
